datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,Wind,5521,0.064,True
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Coal,9857,0.111,False
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Gas,36743,0.414,False
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Hydro,4745,0.053,True
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Nuclear,31376,0.353,False
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Oil,215,0.002,False
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Other Renewables,598,0.006,True
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Solar,6,0.000,True
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Storage,0,0.000,False
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,Wind,5182,0.058,True
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Coal,9876,0.112,False
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Gas,35604,0.403,False
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Hydro,5324,0.060,True
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Nuclear,31345,0.355,False
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Oil,213,0.002,False
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Other Renewables,594,0.006,True
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Solar,411,0.004,True
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Storage,2,0.000,False
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,Wind,4823,0.054,True
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Coal,9684,0.109,False
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Gas,34420,0.390,False
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Hydro,4849,0.055,True
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Multiple Fuels,3,0.000,False
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Nuclear,31319,0.355,False
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Oil,214,0.002,False
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Other Renewables,559,0.006,True
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Solar,2561,0.029,True
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,Storage,13,0.000,False
